PLAYER NAME,TEAM,PROJ. FPTS,Position,Salary,Injury Indicator
Pittsburgh Steelers,,8.9,DST,5000.0,
Green Bay Packers,,8.1,DST,4800.0,
Philadelphia Eagles,,7.4,DST,4600.0,
New York Giants,,7.2,DST,3900.0,
Los Angeles Rams,,6.9,DST,4000.0,
New Orleans Saints,,6.8,DST,4500.0,
Cleveland Browns,,6.8,DST,4400.0,
Tampa Bay Buccaneers,,6.8,DST,4200.0,
Washington Football Team,,6.6,DST,3800.0,
Detroit Lions,,6.4,DST,3900.0,
Miami Dolphins,,6.4,DST,4700.0,
Arizona Cardinals,,6.2,DST,3600.0,
Las Vegas Raiders,,6.1,DST,3500.0,
Buffalo Bills,,6.1,DST,4100.0,
Houston Texans,,5.8,DST,3500.0,
Los Angeles Chargers,,5.8,DST,4100.0,
Denver Broncos,,5.7,DST,4300.0,
Seattle Seahawks,,5.6,DST,3700.0,
Carolina Panthers,,5.2,DST,3000.0,
San Francisco 49ers,,5.0,DST,3700.0,
Cincinnati Bengals,,4.9,DST,3400.0,
Jacksonville Jaguars,,4.3,DST,3100.0,
